iter	RMSE
502	33246.91269
503	33227.98626
504	33205.47546
505	33191.62394
506	33175.33524
507	33157.09784
508	33144.81504
509	33127.38265
510	33110.78889
511	33094.38523
512	33074.64061
513	33061.68632
514	33040.55016
515	33018.79538
516	32997.44852
517	32987.60534
518	32958.54483
519	32941.74368
520	32931.57742
521	32924.26817
522	32904.86654
523	32889.22983
524	32869.1717
525	32847.50316
526	32834.26463
527	32816.80419
528	32802.68808
529	32790.82486
530	32783.09172
531	32769.02219
532	32756.72215
533	32736.51438
534	32717.33863
535	32709.01553
536	32697.01111
537	32686.01509
538	32672.4144
539	32660.55568
540	32644.9552
541	32622.05105
542	32601.19359
543	32591.299
544	32574.68506
545	32562.81713
546	32549.39015
547	32541.35194
548	32526.55339
549	32519.06175
550	32491.64584
551	32473.93051
552	32457.70409
553	32449.30918
554	32436.77902
555	32416.37331
556	32401.37598
557	32385.0664
558	32371.59967
559	32358.37701
560	32345.0741
561	32329.25776
562	32308.9954
563	32295.5289
564	32284.52803
565	32259.77322
566	32243.21703
567	32235.07684
568	32222.17973
569	32207.32168
570	32190.39913
571	32174.44323
572	32160.77816
573	32136.03917
574	32124.25467
575	32111.80951
576	32090.21769
577	32079.63728
578	32063.78134
579	32051.34673
580	32044.14417
581	32031.06281
582	32013.7402
583	31998.42437
584	31989.61085
585	31976.98932
586	31959.66452
587	31945.03997
588	31938.08143
589	31924.09023
590	31912.92427
591	31891.06256
592	31872.90653
593	31856.33017
594	31837.96643
595	31822.4737
596	31813.83983
597	31799.59741
598	31786.09749
599	31769.82067
600	31752.87391
601	31743.50925
602	31726.83355
603	31713.61391
604	31704.41381
605	31681.81941
606	31674.50611
607	31656.69954
608	31649.18128
609	31629.56023
610	31611.74948
611	31593.23337
612	31576.33948
613	31565.65434
614	31556.92593
615	31543.62957
616	31529.91259
617	31518.62692
618	31506.14148
619	31493.59348
620	31483.86518
621	31470.88064
622	31451.88789
623	31439.81643
624	31431.26663
625	31419.52868
626	31400.54214
627	31383.03775
628	31374.16967
629	31366.02529
630	31354.13521
631	31339.72195
632	31330.16129
633	31318.04759
634	31308.02944
635	31295.6581
636	31273.06091
637	31265.26518
638	31250.04551
